category,content,link,title
사회,인천공항=하상윤 기자,https://news.v.daum.net/v/20200712192037488,105일 만에 인천∼中 난징 항공운항 재개
사회,"12일 법조계에 따르면 서울고법에는 박 시장 아들 주신씨의 병역비리 의혹을 둘러싼 명예훼손 형사사건이 4년 넘게 계류돼있다. 동남권원자력 의학원 핵의학과 주임과장 양승오 박사를 비롯한 7명은 2014년 6월 지방선거를 앞두고 박 시장을 낙선시키기 위해 아들의 병역비리 의혹을 제기한 혐의(공직선거법 위반)로 기소됐다.주신씨는 2011년 공군 훈련소에 입소했다가 같은 해 9월 허벅지 통증을 이유로 귀가했다. 이후 재검을 거쳐 공익근무 복무 대상 판정을 받았다. 양 박사 등은 그러나 주신씨가 2012년 2월 서울 신촌 세브란스병원에서 재검을 받을 당시 ‘자기공명영상(MRI)’을 바꿔치기 하는 수법을 썼다는 의혹을 제기했다. 1심은 주신씨의 공개검증 영상을 그가 직접 찍은 것으로 보고 양 박사 등의 혐의를 유죄로 인정해 1인당 벌금 700만∼1500만원을 선고했다. 이에 양 박사 등이 항소하면서 서울고법 형사6부에서 심리 중이다. 박 시장이 이 사건과 관련해 낸 민사소송도 이어질 전망이다. 민사소송법에 따라 소송 당사자가 사망했을지라도 대리인이 선임된 경우는 재판이 중단되지 않는다.박 시장은 양 박사 등이 1심에서 유죄를 선고받은 후인 2016년 3월 총 6억원에 달하는 손해배상 소송을 냈고, 서울중앙지법 민사14부가 재판을 맡고 있다. 앞서 박 시장은 2015년 11월 같은 의혹을 제기한 강용석 변호사를 상대로도 2억3000만원의 손해배상을 요구하는 소송을 내 같은 재판부에서 심리 중이다.미래통합당 배현진 원내대변인은 지난 11일 자신의 사회관계망서비스(SNS)를 통해 “오랫동안 부친을 괴롭혀 온 병역비리 의혹을 결론내달라”며 주신씨를 겨냥하는 글을 게재해 논란이 일었다. 이에 진중권 동양대 전 교수는 SNS에 “비판을 하려면 제대로 하라. 부친상 중인 사람을 때리나”라고 꼬집었다.안병수 기자 rap@segye.com",https://news.v.daum.net/v/20200712192131494,박원순 별세에도 아들 병역비리 소송은 '진행형'
사회,경북경찰청은 12일 폭행과 보건범죄 단속에 관한 특별조치법 위반 등의 혐의로 안씨에 대해 구속영장을 신청했다고 밝혔다. 경찰에 따르면 안씨는 고 최숙현 선수 등 경주시청 트라이애슬론 선수 상당수에게 폭행과 폭언을 하는 등 가혹행위를 한 혐의를 받고 있다. 그는 돈을 받고 불법 의료행위를 하거나 일부 여자 선수를 성추행한 혐의도 받는다.앞서 경찰은 지난 10일 안씨를 대구에 있는 자택에서 체포한 뒤 경주경찰서로 데려와 강도 높게 조사했다. 그는 경찰 조사에서 대체로 혐의를 시인하면서 일부 주요 혐의는 부인한 것으로 알려졌다.안씨는 경북 경산의 한 내과의원에서 물리치료사 보조직원으로 일하던 중 경주시청 트라이애슬론팀 선수 소개를 받아 운동처방사로 일했다. 안씨는 선수들에게 미국에서 의사면허를 땄다고 소개하는 등 의사 행세를 하면서 ‘팀닥터’로 불린 것으로 전해졌다.안동=김덕용 기자 kimdy@segye.com,https://news.v.daum.net/v/20200712192027487,"경찰, '최숙현 폭행' 팀닥터 구속영장"
사회,"식품의약품안전처는 12일부터 공적 마스크 제도가 공식 폐지되고 시장공급체계로 전환됐다고 밝혔다. 이에 따라 소비자들은 약국, 마트, 편의점, 온라인 등에서 보건용 마스크를 살 수 있다.여름철 수요가 크게 증가한 비말차단용 마스크는 기존과 마찬가지로 공적 마스크가 아닌 시장공급체계로 공급된다. 다만 의료기관에서 사용하는 수술용 마스크에 대해서는 현행 공적공급체계가 유지된다.이와 별개로 우정사업본부는 국민편의를 위해 마스크를 사기 힘든 전국 읍·면 지역 1234개 우체국은 8월 31일까지, 대구 시내 78개 우체국은 7월 31일까지 마스크를 계속 판매한다고 밝혔다. 약국과 농협이 없는 도서·산간지역 등지의 92개 우체국과 우체국쇼핑몰은 기간을 정하지 않고 마스크를 계속 판매한다.공적 마스크제도는 코로나19 사태 초기인 지난 2월 말 마스크 대란이 벌어지면서 처음 도입됐다. 출생연도에 따른 5부제가 시행돼 한 주에 정해진 요일에 정해진 양만큼만 살 수 있었다. 공적 마스크제도 초기에는 1인당 2장씩이었고, 4월 27일 1인당 3장으로 확대됐다. 이어 마스크 수급이 안정되면서 지난달부터는 5부제가 폐지되고 1인당 10장까지 살 수 있게 됐다.식약처는 공적 마스크제도 폐지 후 마스크 대란과 같은 비상 상황이 재발하면 구매 수량 제한이나 요일제 등의 조치를 신속하게 취한다는 방침이다. 또 마스크 가격·품절률·일일 생산량 등 시장 동향 모니터링을 강화하고, 수급불안이 가시화되면 생산량 확대·수출량 제한 및 금지·정부 비축물량 투입 등의 수급 안정화에도 나설 계획이다.정세균 국무총리는 마스크 시장공급체계 전환과 관련해 이날 자신의 사회관계망서비스(SNS)에 “어려운 가운데서도 애써주신 전국 2만3000여 약국의 약사 여러분, 정말 고맙습니다”고 감사의 마음을 전했다.이진경 기자",https://news.v.daum.net/v/20200712192147497,"""보건용 마스크 제한없이 사세요"""
사회,"Gwangju Mayor Lee Yong-seop announced in a press briefing that all social clubs' group sport activities — including friendly games and league matches — will also be banned until July 25 to curb the spread of the virus within the city, located 268 kilometers (167 miles) south of Seoul. At least seven Covid-19 patients have recently been linked to a Gwangju badminton club, three of whom received their positive test results Saturday. Nationwide, 44 people were newly diagnosed with the coronavirus Saturday, 21 of whom were locally infected: eight in Gyeonggi, seven in Seoul, five in Gwangju and one in Daejeon. Twenty-three others were infected abroad: five in Uzbekistan, two in the Philippines and one each in Pakistan, Russia and Japan. Twelve other people were infected in the Americas and one in a European country. Korea’s total case load now stands at 13,417. By Saturday at midnight, 289 people had died, one more from the previous day, while 12,178 people had been declared fully recovered, 34 more than the day before, according to data from the Korea Centers for Disease Control and Prevention (KCDC), released Sunday morning. On Friday, 35 people were newly infected nationwide, and 45 people on Thursday. While no huge Covid-19 cluster has emerged in recent weeks, sporadic cases have led to a chain of infections in numerous places across the country, mostly in the Seoul metropolitan area encompassing Seoul, Incheon and Gyeonggi, as well as Gwangju and Daejeon. The infections traced to the badminton club in Gwangju are believed to have originated from a club member who got infected after visiting the city’s Geumyang Building, where more than 25 infections have been traced. The cases at the building are connected to Gwangreuk Temple, where at least 14 infections have been traced, according to KCDC data. All in all, health officials believe some 135 Covid-19 patients in Gwangju are linked to one another, making it the fastest-growing hot spot outside the Seoul metropolitan area. Another hot spot is in Uijeongbu, Gyeonggi, just north of Seoul, where some 30 positive cases have been linked to an apartment complex and a fitness center. Several schools in the vicinity have closed and decided to run online classes for their students. Across the country, some 480 schools were closed as of Friday, mostly in or near Covid-19 hot spots. Korean students returned to school in a phased manner from late May, many engaging in a mix of online and in-person classes. Most Korean universities have remained shut throughout the entire spring semester, and have recently announced plans to adopt a similar hybrid model for the fall. BY LEE SUNG-EUN [lee.sungeun@joongang.co.kr] ",https://news.v.daum.net/v/20200712192101490,Gwangju announces closure of all indoor sports facilities
사회,"12일 중앙방역대책본부에 따르면 6월28일~7월11일 2주간 코로나19 일평균 신규환자수는 51.7명으로 집계됐다. 광주, 대구 등에서 집단감염이 발생하면서 14일 중 60명을 넘는 날이 5일이나 됐다. 2주 일평균 환자수는 6월14~27일 43명에서 6월21~7월4일 47명으로 점차 증가하고 있다.지난 4주간 주간 일평균 환자수를 보면 변동이 심하다. 6월14~20일에는 46.1명에서 6월21∼27일 40명으로 줄어들었다. 6월28일~7월4일 54명으로 올라섰다가 지난주(7월5~11일) 49.4명으로 감소했다. 3주 전보다는 높은 수준이다. 코로나19 상황이 등락을 반복하며 우상향으로 움직이고 있는 것이다.코로나19 상황이 안정되지 않는 것은 해외 유입, 지역발생 모두 원인이다.6월14~20일 13.8명이던 일평균 해외 유입 환자수는 3주만인 7월5~11일 22.7명으로 불어났다. 원양어선 조업 및 농촌 일손을 돕기 위해 입국하는 외국인이 많아진 영향이 크다.정부는 해외유입 환자 증가에 대응해 13일부터 방역강화 대상 국가에서 입국하는 모든 외국인에 출발일 기준 48시간 이내 발급받은 ‘음성확인서’를 의무적으로 제출하도록 했다. 또 항만을 통해 입국하는 모든 외국인 선원의 2주간 의무격리를 위해 13일 부산·여수 임시생활시설을 우선 개소하고, 추후 시설을 추가확보할 방침이다.박능후 중앙재난안전대책본부 본부장은 “수도권을 제외한 대전, 광주 등 지역에서 여전히 환자 발생이 이어지고 있다”며 “사회적 거리두기의 단계를 현 수준으로 유지하면서 고위험시설 점검과 역학조사 등의 방역 관리 노력을 지속해야 한다”고 밝혔다.이진경 기자 ljin@segye.com",https://news.v.daum.net/v/20200712192124492,잡히지 않는 집단감염.. 확진자수 등락 반복하며 '우상향'
사회,"그런데 이런 비극이 고 최숙현 선수만에게만 일어났던 걸까요? JTBC 취재 결과, 맞았다거나 성추행을 당했다거나 이런 저런 피해를 신고한 건수가 지난 6년 동안 무려 1000건이 넘었습니다. 특히 폭행을 당했다는 신고는 태권도, 축구, 승마 종목 가릴 것 없었는데 초등학생이 PVC 파이프로 맞은 경우까지 있었습니다. 하지만 강도 높은 처벌을 받은 코치는 거의 없었는데요. 이런 일이 반복되는 이유기도 하겠죠.유미혜 기자가 취재했습니다.[기자]문화체육부 스포츠비리신고센터에 접수된 신고 현황입니다.2014년부터 현재까지 1000건이 넘게 접수됐습니다.특히 지난해 1월부터 올해 6월 말까지 200여 건이 접수됐는데, 폭력 신고가 가장 많았습니다.매월 폭력 관련 신고가 이어졌습니다.초등학생부터 국가대표 후보 선수까지 전 연령대에서 신고가 접수됐습니다.폭행은 축구, 농구, 야구, 태권도, 육상, 피겨스케이팅 등 종목 가릴 것 없이 벌어졌습니다.코치의 몰카 촬영을 비롯해 성추행 신고도 있었습니다.피해 신고 중 일부는 무죄로 드러났지만, 상당수 피해도 확인됐습니다.하지만 강도 높은 처벌이 이뤄진 경우는 많지 않았습니다.지난해 2월 초등학생 태권도 선수를 PVC 파이프로 때린 코치는 감봉 1개월 처분에 그쳤습니다.국가대표 출신 전 코치의 성추행도 지도자 자격 정지 1년에 그쳤습니다.[태영호/미래통합당 의원 ; (최숙현 선수가) 솜방망이 처벌 얘기를 들었다면 엄청 좌절했을 것이라고 생각합니다. 신고를 적극적으로 유인할 수 있는 시스템 구축은 물론 엄중히 처벌할 수 있도록…](영상디자인 : 홍빛누리·정수임)",https://news.v.daum.net/v/20200712193018574,"종목 가릴 것 없이 ""나도 맞았다""..매달 폭행 피해 신고"
사회,"[아시아경제 박종일 기자] 강동구(구청장 이정훈)가 9일 영유아와 부모가 맘껏 뛰놀고 육아정보를 공유하는 육아 복합 커뮤니티 시설인 ‘아이·맘 강동육아시티 천호공원점’ 개소식을 개최했다.강동구는 지난해부터 아이·맘 강동육아시티 1호 성내점, 2호 천호점을 조성해 운영하고 있으며 최근에 개소한 3호 강일점에 이어 오는 9일에 4호 천호공원점이 문을 열었다.아이·맘 강동육아시티 천호공원점은 전용면적 204.6㎡규모로 천호2동주민센터 5층(올림픽로 698)에 위치해 있으며 영유아들이 자유롭게 놀이하는 공간인 ‘열린놀이터’와 부모들이 육아정보를 공유하는 자조모임 공간, 연령별 다양한 놀이 체험 프로그램을 제공하는 ‘아이자람터’ 등으로 이루어져 있다.운영은 화~토요일 오전 10~ 오후 5시30분까지며, 오후 1~2시는 점심시간으로 운영이 잠시 중단된다.(일, 월요일과 법정 공휴일은 휴무) 시설 이용은 0세부터 취학 전 영유아 자녀와 부모, 영유아 유관기관에서 자유롭게 이용할 수 있다.현재 신종 코로나바이러스 감염증(코로나19)로 인해 시설의 프로그램 운영은 중단됐지만 천호공원점 열린놀이터는 9일부터 강동어린이회관 홈페이지를 통해 선 예약 후 이용할 수 있도록 부분 운영을 실시한다. 방역수칙을 지키며 서로 간에 일정 거리를 유지할 수 있도록 소규모의 인원만 예약을 받아 오전, 오후 두 타임만 진행할 예정이다. 추후 코로나19 상황에 따라 운영일정은 변동될 수 있다.이정훈 강동구청장은 “아이·맘 강동육아시티를 거점으로 지역 내 건강하고 행복한 양육 문화가 확산되길 기대한다”며 “앞으로도 출산·양육·가족 친화 정책들을 체계적으로 추진해 아이 키우기 좋은 강동구를 만들어 나가겠다”고 말했다.박종일 기자 dream@asiae.co.kr",https://news.v.daum.net/v/20200712192213499,강동구 '아이·맘 강동육아시티 천호공원점' 개소
사회,"12일 고용노동부에 따르면 사회적 대화 기구인 최저임금위원회는 13일 오후 정부세종청사에서 제8차 전원회의를 열고 최저임금 심의를 이어간다. 법정 심의 기한은 지난달 29일로 이미 2주가량 지났지만 앞서 박준식 최저임금위원장은 13일을 심의 1차 기한으로 제시한 바 있다. 최저임금 법정 고시 기한이 8월5일인데, 필요한 행정 절차 등을 거치려면 적어도 이달 중순까진 심의가 마무리돼야 해서다.내년도 최저임금은 이번 8차 회의 또는 14일 0시를 기해 개회될 9차 회의에서 의결될 가능성이 제기된다. 그간 최저임금 심의는 협상 막판에 노사가 밤샘 끝장 토론을 벌이는 관행이 있었는데, 협상이 길어져 날을 넘길 경우 0시를 기해 자동으로 회의가 다음 차수로 넘어간다.심의 시간이 촉박하지만 최저임금위는 파행 위기에 놓였다. 앞서 최초 요구안으로 2.1% 삭감안(8410원)을 제시한 경영계 측 사용자위원들이 지난 9일 6차 전원회의에서 수정안을 제출하며 또다시 ‘-1%’(8500원)를 주장하면서다. 양대 노총 추천 인사로 이뤄진 근로자위원 9명은 삭감안에 대한 항의로 6차 회의 도중 전원 퇴장했고, 근로자위원인 윤택근 전국민주노동조합총연맹 부위원장은 퇴장 직후 “(경영계 측이) 마이너스 요구안을 철회하지 않으면 더는 최저임금위에 있을 이유가 없다”며 향후 회의 불참을 예고했다. 노동계는 수정안으로 최초안 1만원에서 570원 인하한 9430원(9.8% 인상)을 제시했다.이동수 기자 ds@segye.com",https://news.v.daum.net/v/20200712192348509,"노사, 최저임금 '줄다리기'.. 공익위원 '별도안' 내놓나"
사회,"[오마이뉴스 조정훈 기자]경북도는 이를 위해 전국 각지에서 경북으로 파견된 의료인 440여 명 중에서 경북관광 서비스 참가신청을 한 188명(가족포함 592명)을 대상으로 맞춤형 경북여행 지원을 제공하기로 했다.우선 1차로 의료인 49명과 가족 103명 등 152명이 난 10일과 11일 양일간 경주와 포항을 중심으로 가족단위 여행을 했다. 또 경주 라한호텔에서 의료인 초청 간담회를 열고 감사패를 전달했다.경북도는 사전에 의료인들을 대상으로 경북관광 사전조사를 진행해 가족단위 개별여행과 단체 패키지여행을 병행하기로 했다.가족단위 개별여행은 숙박비와 체험비를 지원하고 프로그램은 개별적으로 진행한다. 또 단체 패키지여행은 유네스코 중심의 경주 불국사와 포항 죽도시장을 중심으로 한 동해안 탐방코스를 제공한다.강성조 경북도 행정부지사는 ""경북이 코로나19 확산으로 힘든 시기에 의료진 분들의 적극적인 지원과 헌신은 코로나19 극복에 큰 힘이 되었다""며 ""이런 자리를 통해 의료인분들께 작게나마 보답할 수 있는 시간이었으면 한다""고 말했다.한편 경북도는 불교 전통사찰의 산사수행과 힐링 콘텐츠를 접목시킨 '템플스테이 처험'과 천주교의 소통묵상 등 피정활동과 결합된 '소울스테이 체험', 기독교 성지와 관광콘텐츠를 결합한 '기독교 성지 탐방 프로그램'을 7월부터 추진하고 있다.특히 8월 하순경에는 경북도와 한국관광공사 대구경북지사와 협업을 통해 3단계 코로나19 경북지원 의료인 이벤트를 추진하기 위해 세부 추진계획도 협의하고 있다.",https://news.v.daum.net/v/20200712192401511,경북도 코로나19 확산 당시 의료인 초청 관광 지원
