category,content,link,summary,title
정치,"정세균 국무총리는 12일 고(故) 백선엽 장군 안장 문제와 관련해 “정부는 육군장(葬)으로 (고인을) 대전현충원에 잘 모실 계획을 갖고 있다”고 밝혔다.야당 등 일각에서 나오는 서울현충원 안장과 국가장(葬) 격상 요구에 대해 정부의 기존 방침을 재확인한 것이다. 정 총리는 이날 오후 4시 45분쯤 서울 송파구 서울아산병원 장례식장에 마련된 백 장군의 빈소를 찾아 약 15분간 조문한 뒤 기자들과 만나 “고인은 6·25전쟁에서 큰 공훈을 세웠다”며 이 같이 말했다.정 총리는 이어 고인을 예우 차원에서 서울현충원에 안장해야한다는 의견에 대한 입장을 묻자 말 없이 빈소를 빠져나갔다. 백 장군은 서울현충원 장군 묘역이 지난 1996년 만장됨에 따라 장례 후 대전현충원 장군 묘역에 안장될 예정이다.김유진 기자
 [Copyrightⓒmunhwa.com '대한민국 오후를 여는 유일석간 문화일보' 무단 전재 및 재배포 금지()]",https://news.nate.com/view/20200712n15406?mid=n0200,[  |  |  ],"정총리 ""육군장으로 대전현충원에 잘 모실 것"""
정치,"(서울=연합뉴스) ▲ 김정은 국무위원장은 11일 몽골 인민혁명승리(독립기념일) 99주년을 맞아 할트마 바트톨가 몽골 대통령에게 축전을 보냈다고 조선중앙통신이 보도했다. ▲ 김 위원장은 11일 루이스 아비나데르 도미니카 공화국 대통령에게 대선 승리를 축하하는 내용의 축전을 보냈다고 중앙통신이 보도했다. ▲ 김재룡 내각총리가 천리마제강연합기업소와 의학연구원 의학생물학연구소, 국가과학원 생물공학분원을 시찰했다고 중앙통신이 11일 전했다. ▲ 중앙통신은 11일 함경북도 어랑천 4호 발전소가 완공됐다고 전했다.(끝)",https://news.nate.com/view/20200711n13894?mid=n0200,,"[북한단신] 김정은, 몽골 대통령에 독립기념일 축전"
정치,"서병수 ""고인 욕보이는 행태…서울시장 치를 예비비 있다면 코로나 극복하는 데 쓰는 게""











		- ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -",https://news.nate.com/view/20200711n10896?mid=n0200,[베스트 클릭! 헤럴드 경제 얼리어답터 뉴스],"하태경 ""서울특별시장(裝) 자체가 2차 가해""…통합당 일부 반발"
정치,"(서울=연합뉴스) 김경윤 기자 = 북한은 11일 가끔 구름이 많은 가운데 곳에 따라 비가 내리겠다고 기상청이 예보했다. 평안북도와 함경도 북부에서는 낮부터 밤사이 비가 내리며, 예상 강수량은 5∼20㎜다. 조선중앙방송도 강원도 해안지역을 중심으로 오전과 오후 한때 비가 내리겠다고 보도했다. 동해 먼바다에서는 북동풍 또는 북서풍이 초당 10∼15ｍ로 강하게 불고 2∼3ｍ 높이의 파도가 일겠다고 전했다. 평양시의 이날 최저기온은 20도였으며 낮 최고기온은 30도로 예상된다. 아래는 기상청이 전한 지역별 날씨 전망. (날씨·강수확률은 오후 기준) ▲ 평양 : 구름많음, 30, 20 ▲ 중강 : 흐리고 비, 28, 60 ▲ 해주 : 구름많음, 29, 20 ▲ 개성 : 구름많음, 30, 20 ▲ 함흥 : 흐림, 26, 20 ▲ 청진 : 흐림, 22, 30 heeva@yna.co.kr(끝)",https://news.nate.com/view/20200711n02348?mid=n0200,,[북한날씨] 가끔 구름많고 곳에 따라 비
정치,"[서울경제]  ‘6·25전쟁영웅’ 백선엽 장군 별세···향년 100세[서울경제 관련뉴스]""XX 자식"" 이해찬, 박원순 성추행 의혹 묻자 ""예의 없다"" 분노이렇게 요염한 자태라니···한예슬의 MBTI는?박원순 사망에 정치권 애도 물결···손혜원 ""제 마음 속 영원한 시장님""쇄골미인 클라라, 노출+각도에 '섹시美 대폭발' 명품 몸매는 덤서울대병원 도착한 박원순···""일어나라, 미안하다"" 오열",https://news.nate.com/view/20200711n03221?mid=n0200,,[속보]6·25전쟁영웅 백선엽 장군 별세···향년 100세
정치,"박원순 서울시장의 장례가 서울특별시장(葬)으로 치러지는 것을 놓고 미래통합당에서 비판의 목소리가 연이어 나오고 있다.박수영 의원은 11일 페이스북에 “조용히 가족장으로 치를 일이지 세금으로 5일장 치를 일은 아니다. 어쨌든 고위공직자로서 하지 말아야 될 짓을 한 것 아닌가”라고 적었다. 그는 박 시장의 성추행 의혹을 언급, “망인에 대한 예의와는 별개로 권력형 성폭력에 대한 진실은 밝혀져야 한다”며 “고소인에 대한 2차 피해는 없어야 한다. 일부 누리꾼들이 피해자의 신상을 털어 올리는 데 분노한다”며 즉각 중단을 요구했다.하태경 의원은 전날 밤 페이스북에서 “서울특별시 주관의 장례는 그 자체로 피해자에 대한 2차 가해”라며 “그동안 고인을 비롯한 정부 여당이 줄곧 주장했던 피해자 중심주의에도 한참 어긋나는 일”이라고 지적했다. 그러면서 서울시가 서울특별시장의 법적 근거로 든 ‘정부의전편람’에는 행정자치부 장관 등 관계기관과의 협의, 서울시의 요청, 대통령의 허가가 필요하다며 “절차를 제대로 지켰는지 의문”이라고 했다.하 의원은 “슬픔과 진실은 명확히 구분해야 한다”고 강조했다.한편 청와대 국민청원 사이트에 올라온 ‘박원순씨 장례를 5일장, 서울특별시장으로 하는 것 반대합니다’라는 제목의 청원은 이날 오전 11시 15분 현재 37만2000여 명의 동의를 받았다.김현아 기자
 [Copyrightⓒmunhwa.com '대한민국 오후를 여는 유일석간 문화일보' 무단 전재 및 재배포 금지()]",https://news.nate.com/view/20200711n08650?mid=n0200,[  |  |  ],"""서울특별시장 자체가 2차 가해""…통합 일각 비판"
정치,"대한항공이 국제선 객실승무원 부산 거점(베이스) 근무제를 폐지한다. 신종 코로나바이러스 감염증(코로나19) 확산으로 부산발 국제선이 사라지면서 객실승무원 부산 근무가 유명무실해졌기 때문이다.12일 대한항공에 따르면 부산에서 거점 근무를 해온 객실승무원 100명은 유급휴직이 종료된 이후 11월부터 인천국제공항에서 근무하게 된다. 대한항공은 그동안 채용한 객실승무원 중 부산ㆍ경남 연고자 또는 근무 희망자를 대상으로 김해국제공항에서 근무하는 거점 근무제를 실시해왔다. 김해국제공항은 다른 지방 공항보다 국제선 비중이 높은 편이다.앞으로 부산 근무 100여명은 유급휴직 종료 시점에 맞춰 전환 배치된다. 대한항공은 지난 4월 16일부터 오는 10월 15일까지 최대 6개월간 전 직원의 70% 이상을 대상으로 휴직을 시행하고 있다. 휴직에 들어간 직원은 통상임금에 해당하는 휴업 수당을 받고 있다.대한항공은 “코로나19 장기화로 부산발 국제선 운영 재개 시기가 불투명해짐에 따른 불가피한 조치”라며 “근무지 전환에 따라 직원이 어려움을 겪지 않도록 사택 지원, 전세자금 대출 등 가능한 범위내에서 최대한 지원 예정”이라고 밝혔다.전영선 기자 azul@joongang.co.kr▶ ▶ ▶ ▶ ▶ ▶  / ▶ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지전영선 azul@joongang.co.kr",https://news.nate.com/view/20200712n15727?mid=n0300,,"대한항공, 부산 거점 근무 폐지, 승무원 100명 전환 배치"
정치,"북한이 북중우호조약 체결 59주년을 맞아 중국의 주권과 영토 수호를 위한 모든 조치를 지지한다며 양국의 친선을 과시했다.노동당 기관지 노동신문은 11일 박경일 조중친선협회위원장 명의로 게재한 ‘조중친선 관계는 끊임없이 강화 발전될 것이다’ 논설에서 “중국 당과 정부가 나라의 주권과 안전, 영토 완정(完整·완전히 갖춤)을 수호하기 위해 취하는 모든 조치들을 전적으로 지지한다”고 밝혔다. 이는 미중간 갈등 요소로 떠오른 ‘홍콩 국가보안법’(홍콩보안법) 문제를 염두에 둔 것으로 보인다.그는 이어 “조중(북중) 친선은 공동 위업을 위한 성스러운 투쟁 속에서 맺어진 전통적인 친선관계”라며 “앞으로도 사회주의 위업을 수호하기 위한 투쟁에서 중국 인민과 언제나 함께 있을 것”이라고 강조했다. 김일성·김정일 정권 당시 북중 우호관계는 물론 최근 김정은 국무위원장의 방중과 지난해 6월 시진핑(習近平) 중국 국가 주석의 방북 사례를 들며 대를 이어온 양국 수장 간 친선도 상기했다.신종 코로나바이러스 감염증(코로나19) 사태와 관련해서는 “형제적 중국 인민이 시진핑 동지를 핵심으로 하는 중국 공산당의 영도 밑에 세계적인 대유행 전염병과의 투쟁에서 최후 승리를 이룩하기를 축원한다”고 덧붙였다. 북중우호조약은 한 국가가 군사적 공격을 받으면 다른 한 국가도 전쟁에 자동 개입한다는 내용으로, 1961년 7월 11일 김일성 주석(당시 내각 수상)과 저우언라이(周恩來) 중국 총리가 베이징에서 체결했다.북한은 최근 홍콩보안법 사태 등에 있어 중국의 입장을 두둔하는 모습을 자주 보여왔다. 지난 3일 지재룡 주중 북한대사는 환추스바오(環球時報)와의 인터뷰에서 “미국이 홍콩 문제와 양안 관계 등 중국 내정에 간섭(한다)”며 미국을 비판하고 중국에 대한 지지를 드러냈다. 5일에는 유엔 주재 북한대사가 중국대사에게 편지를 보내 홍콩보안법 제정에 대한 전적인 지지를 표명했다.새로운 미중갈등 요소로 떠오른 신장(新疆) 지역 인권 문제를 두고도 중국의 편에 섰음을 분명히 했다. 전날 노동신문은 “중국은 신장 관련 정책을 헐뜯으면서 불순한 목적을 추구하는 외세의 내정간섭 책동을 단호히 배격하고 있다”며 “중국당과 정부의 관심과 조치에 의해 신장 위구르 자치구의 사회경제는 앞으로 더욱 활기를 띠고 발전할 것”이라고 보도했다.정철순 기자
 [Copyrightⓒmunhwa.com '대한민국 오후를 여는 유일석간 문화일보' 무단 전재 및 재배포 금지()]",https://news.nate.com/view/20200711n08651?mid=n0200,[  |  |  ],"북중우호조약 59주년…북한 ""중국 모든 조치 전적 지지"""
정치,"▲ 김동진씨 별세, 김윤덕(더불어민주당 국회의원)씨 부친상 = 11일 오후 1시, 전북 전주 효자장례타운 201호, 발인 13일 오전 8시 30분. ☎ 063-228-4441 (전주=연합뉴스)(끝)",https://news.nate.com/view/20200711n10392?mid=n0200,,[부고] 김윤덕(더불어민주당 국회의원)씨 부친상
정치,"[쿠키뉴스] 지영의 기자 =[속보] 박원순 시장 아들 박주신씨 귀국, 빈소 도착ysyu1015@kukinews.com",https://news.nate.com/view/20200711n14009?mid=n0200,,"[속보] 박원순 시장 아들 박주신씨 귀국, 빈소 도착"
